"strings","oPE","freq","Npix","CN","OLD20"
"Sünde",375,2.598790507,6258.92941176471,5,1.6
"Laune",355,2.597695186,6347.07058823529,6,1.6
"Hügel",441,2.597695186,6259.84705882353,5,1.65
"Brett",384,2.597695186,6345.27450980392,2,1.8
"Tötet",416,2.596597096,6333.42352941176,3,1.7
"Zeuge",385,2.592176757,6290.32549019608,6,1.5
"Ebene",350,2.588831726,6266.66274509804,1,1.85
"Woran",379,2.587710965,6329.20392156863,6,1.7
"Enkel",414,2.58546073,6299.03137254902,2,1.75
"Louis",401,2.582063363,6385.69803921569,1,2
"Jäger",444,2.579783597,6310.93725490196,0,1.9
"Bibel",434,2.579783597,6312.20784313725,3,1.8
"Arten",402,2.579783597,6347.2,9,1.5
"Rasse",326,2.57634135,6306.79215686275,17,1.1
"Roman",384,2.575187845,6260.76078431373,0,1.8
"Hafen",352,2.572871602,6290.12156862745,10,1.3
"Tokio",449,2.57054294,6333.94901960784,0,2.45
"Prima",444,2.57054294,6339.00784313725,2,1.95
"Kunde",361,2.56937391,6275.32156862745,9,1.5
"Phase",363,2.567026366,6305.42352941176,0,1.9
"Grace",374,2.567026366,6344.12156862745,3,1.8
"Stufe",395,2.565847819,6331.67843137255,4,1.75
"Schuh",384,2.565847819,6283.8431372549,3,1.75
"Clown",464,2.564666064,6344.47450980392,0,2.65
"Paket",380,2.561101384,6319.59607843137,0,1.85
"Annie",396,2.561101384,6334.56078431373,0,1.9
"Frohe",378,2.558708571,6336.15294117647,4,1.55
"Durst",379,2.557507202,6357.8431372549,3,1.8
"Feier",378,2.553883027,6385.12941176471,5,1.45
"Küste",367,2.552668216,6312.38823529412,8,1.4
"Pater",367,2.551449998,6363.61176470588,4,1.6
"Morde",410,2.551449998,6278.02352941176,2,1.7
"Sucht",378,2.547774705,6322.3568627451,9,1.4
"Lampe",436,2.546542663,6260.84705882353,1,1.9
"Profi",455,2.544068044,6381.16470588235,0,1.95
"Rosen",338,2.540329475,6303.27058823529,10,1.4
"Mögen",433,2.540329475,6224.18039215686,6,1.65
"Köder",396,2.539076099,6276.64705882353,2,1.75
"Juden",408,2.539076099,6320.70588235294,5,1.7
"Mädel",461,2.537819095,6254.14117647059,0,1.9
"Armer",453,2.536558443,6319.52156862745,7,1.6
"Nebel",413,2.53529412,6281.46274509804,4,1.75
"Marke",405,2.534026106,6289.65882352941,12,1.25
"Leber",397,2.532754379,6335.3568627451,8,1.4
"Kehle",386,2.532754379,6303.36470588235,10,1.45
"Motel",442,2.531478917,6326.75294117647,2,1.85
"Einem",406,2.526339277,6287.21960784314,4,1.75
"Wille",476,2.525044807,6378.61176470588,12,1.3
"Santa",348,2.525044807,6320.47843137255,0,2
"Sinne",365,2.523746467,6331.82352941176,6,1.5
"Käfig",462,2.523746467,6271.70196078431,0,2.1
"Segen",377,2.522444234,6261.99215686275,19,1
"Trotz",429,2.521138084,6377.91764705882,2,1.8
"Beute",333,2.521138084,6313.70196078431,15,1.1
"Konto",360,2.51851394,6323.22352941176,1,1.85
"Faust",353,2.515873844,6360.36078431373,14,1.25
"Salat",388,2.514547753,6345.21176470588,2,1.8
"Teddy",501,2.511883361,6235.94901960784,0,2.85
"Moses",376,2.511883361,6297.27058823529,5,1.75
"Kennt",349,2.507855872,6315.17647058824,7,1.55
"Sorte",361,2.505149978,6349.47058823529,5,1.65
"Hurra",362,2.503790683,6347.6431372549,1,2.05
"Toast",399,2.50242712,6341.8431372549,0,1.95
"Fleck",433,2.50242712,6349.24705882353,0,1.9
"Block",424,2.501059262,6310.21960784314,2,1.75
"Feder",378,2.498310554,6321.49019607843,7,1.55
"Weder",400,2.496929648,6293.61568627451,8,1.5
"Diebe",394,2.495544338,6304.9137254902,10,1.35
"Blitz",426,2.495544338,6373.86274509804,0,1.95
"Komme",422,2.494154594,6231.17647058824,5,1.65
"Ernte",356,2.488550717,6335.99607843137,2,1.7
"Blatt",409,2.487138375,6343.96078431373,5,1.7
"Bezug",381,2.481442629,6271.89803921569,0,2
"Tempo",466,2.474216264,6241.65882352941,0,2.65
"Davis",399,2.474216264,6364.27843137255,1,1.9
"Mutti",447,2.472756449,6354.19215686274,1,1.9
"Still",495,2.471291711,6397.00392156863,6,1.55
"Chips",453,2.471291711,6304.81176470588,1,1.9
"Werte",377,2.469822016,6343.75294117647,12,1.15
"Nette",360,2.46834733,6319.57254901961,14,1.1
"Moral",446,2.46834733,6335.30588235294,0,1.95
